새주소,지번주소,location1,location2,테마코드,콘텐츠 코드,"언어셋(KOR : 국문, ENG : 영문, JP : 일문, CHA : 중문-간체, CHB : 중문-번체)",콘텐츠 명,시도명(텍스트),구명,동명,산지여부,주 번지,부 번지,기타주소,전화번호,상세정보 값 1,상세정보 값 2,상세정보 값 3,상세정보 값 4,상세정보 값 5,상세정보 값 6,상세정보 값 7,상세정보 값 8,상세정보 값 9,상세정보 값 10,상세정보 값 11,상세정보 값 12,상세정보 값 13,상세정보 값 14,상세정보 값 15,상세정보 값 16,상세정보 값 17,상세정보 값 18,상세정보 값 19,상세정보 값 20,상세정보 이름 1,상세정보 이름 2,상세정보 이름 3,상세정보 이름 4,상세정보 이름 5,상세정보 이름 6,상세정보 이름 7,상세정보 이름 8,상세정보 이름 9,상세정보 이름 10,상세정보 이름 11,상세정보 이름 12,상세정보 이름 13,상세정보 이름 14,상세정보 이름 15,상세정보 이름 16,상세정보 이름 17,상세정보 이름 18,상세정보 이름 19,상세정보 이름 20,좌표데이터,좌표 타입 (1:Point 3:Polyline 4:MultiPolyline 5:Polygon 6:MultiPolygon 8:multiPoint),선 두께 1~10,테마 선 색상,키워드,등록일,수정일
서울특별시 종로구 지봉로 86,서울특별시 종로구 숭인동 55-2,127.0156271,37.57782264,100180,wtb_01_01_001,KOR,숭인1동 주민센터,,종로구,,,,,,1899-4708,여성1인가구 등을 위해 다세대주택 지역에 무인택배함을 설치하여 낯선 사람을 대면하지 않고 택배를 수령할 수 있는 서비스,택배 주문 시 배송란에 여성안심택배함 주소 입력  → 택배가 도착하면 휴대폰 문자로 인증번호 수신 → 택배함으로 와서 인증번호 입력 후 택배 찾기 ※택배도착 후 48시간 까지만 무료이며 이후부터 하루당 1천원씩 요금 발생,입구 우측,,,,,,,,,,,,,,,,,,여성안심택배함이란?,이용 방법,자세한 위치,,,,,,,,,,,,,,,,,,,1,4,#0000FF,,2018.6.28 10:14,2018.6.28 10:14
서울특별시 종로구 성균관로1길 6-3,서울특별시 종로구 명륜3가 147-1,126.9977739,37.58343321,100180,wtb_01_02_002,KOR,종로육아종합지원센터,,종로구,,,,,,1899-4708,여성1인가구 등을 위해 다세대주택 지역에 무인택배함을 설치하여 낯선 사람을 대면하지 않고 택배를 수령할 수 있는 서비스,택배 주문 시 배송란에 여성안심택배함 주소 입력  → 택배가 도착하면 휴대폰 문자로 인증번호 수신 → 택배함으로 와서 인증번호 입력 후 택배 찾기 ※택배도착 후 48시간 까지만 무료이며 이후부터 하루당 1천원씩 요금 발생,주차장 후면,,,,,,,,,,,,,,,,,,여성안심택배함이란?,이용 방법,자세한 위치,,,,,,,,,,,,,,,,,,,1,4,#0000FF,,2018.6.28 10:14,2018.6.28 10:14
서울특별시 노원구 동일로186길 3-24,서울특별시 노원구 공릉동 499-25,127.0737519,37.62478571,100180,wtb_01_03_003,KOR,공릉1동 주민센터,,노원구,,,,,,1899-4708,여성1인가구 등을 위해 다세대주택 지역에 무인택배함을 설치하여 낯선 사람을 대면하지 않고 택배를 수령할 수 있는 서비스,택배 주문 시 배송란에 여성안심택배함 주소 입력  → 택배가 도착하면 휴대폰 문자로 인증번호 수신 → 택배함으로 와서 인증번호 입력 후 택배 찾기 ※택배도착 후 48시간 까지만 무료이며 이후부터 하루당 1천원씩 요금 발생,주민센터 2층 출입문 오른쪽,,,,,,,,,,,,,,,,,,여성안심택배함이란?,이용 방법,자세한 위치,,,,,,,,,,,,,,,,,,,1,4,#0000FF,,2018.6.28 10:14,2018.6.28 10:14
서울특별시 종로구 자하문로19길 36,서울특별시 종로구 옥인동 45-30,126.9692405,37.58183108,100180,wtb_01_04_171,KOR,청운효자동 자치회관,,종로구,,,,,,1899-4708,여성1인가구 등을 위해 다세대주택 지역에 무인택배함을 설치하여 낯선 사람을 대면하지 않고 택배를 수령할 수 있는 서비스,택배 주문 시 배송란에 여성안심택배함 주소 입력  → 택배가 도착하면 휴대폰 문자로 인증번호 수신 → 택배함으로 와서 인증번호 입력 후 택배 찾기 ※택배도착 후 48시간 까지만 무료이며 이후부터 하루당 1천원씩 요금 발생,정문입구 왼편,,,,,,,,,,,,,,,,,,여성안심택배함이란?,이용 방법,자세한 위치,,,,,,,,,,,,,,,,,,,1,4,#0000FF,,2018.6.28 10:14,2018.6.28 10:14
서울특별시 중구 다산로8길 32,서울특별시 중구 신당동 372-87,127.0112037,37.5523646,100180,wtb_02_01_004,KOR,약수교회 식당입구,,중구,,,,,,1899-4708,여성1인가구 등을 위해 다세대주택 지역에 무인택배함을 설치하여 낯선 사람을 대면하지 않고 택배를 수령할 수 있는 서비스,택배 주문 시 배송란에 여성안심택배함 주소 입력  → 택배가 도착하면 휴대폰 문자로 인증번호 수신 → 택배함으로 와서 인증번호 입력 후 택배 찾기 ※택배도착 후 48시간 까지만 무료이며 이후부터 하루당 1천원씩 요금 발생,교회 후문,,,,,,,,,,,,,,,,,,여성안심택배함이란?,이용 방법,자세한 위치,,,,,,,,,,,,,,,,,,,1,4,#0000FF,,2018.6.28 10:14,2018.6.28 10:14
동호로 241,중구 장충동2가 200-102,127.0071644,37.55837688,100180,wtb_02_02_005,KOR,장충체육관 후문,,중구,,,,,,1899-4708,여성1인가구 등을 위해 다세대주택 지역에 무인택배함을 설치하여 낯선 사람을 대면하지 않고 택배를 수령할 수 있는 서비스,택배 주문 시 배송란에 여성안심택배함 주소 입력  → 택배가 도착하면 휴대폰 문자로 인증번호 수신 → 택배함으로 와서 인증번호 입력 후 택배 찾기 ※택배도착 후 48시간 까지만 무료이며 이후부터 하루당 1천원씩 요금 발생,후문 주차장 입구,,,,,,,,,,,,,,,,,,여성안심택배함이란?,이용 방법,자세한 위치,,,,,,,,,,,,,,,,,,,1,2,#0000FF,,2018.6.28 10:14,2018.8.6 13:34
서울특별시 중구 퇴계로20길 3,서울특별시 중구 남산동2가 9-6,126.9858457,37.56005859,100180,wtb_02_03_006,KOR,명동주민센터,,중구,,,,,,1899-4708,여성1인가구 등을 위해 다세대주택 지역에 무인택배함을 설치하여 낯선 사람을 대면하지 않고 택배를 수령할 수 있는 서비스,택배 주문 시 배송란에 여성안심택배함 주소 입력  → 택배가 도착하면 휴대폰 문자로 인증번호 수신 → 택배함으로 와서 인증번호 입력 후 택배 찾기 ※택배도착 후 48시간 까지만 무료이며 이후부터 하루당 1천원씩 요금 발생,입구 우측 벽면,,,,,,,,,,,,,,,,,,여성안심택배함이란?,이용 방법,자세한 위치,,,,,,,,,,,,,,,,,,,1,4,#0000FF,,2018.6.28 10:14,2018.6.28 10:14
서울특별시 중구 동호로17길 270,서울특별시 중구 신당동 432-1627,127.0062759,37.54906871,100180,wtb_02_04_171,KOR,버티 공영주차장,,중구,,,,,,1899-4708,여성1인가구 등을 위해 다세대주택 지역에 무인택배함을 설치하여 낯선 사람을 대면하지 않고 택배를 수령할 수 있는 서비스,택배 주문 시 배송란에 여성안심택배함 주소 입력  → 택배가 도착하면 휴대폰 문자로 인증번호 수신 → 택배함으로 와서 인증번호 입력 후 택배 찾기 ※택배도착 후 48시간 까지만 무료이며 이후부터 하루당 1천원씩 요금 발생,정문입구,,,,,,,,,,,,,,,,,,여성안심택배함이란?,이용 방법,자세한 위치,,,,,,,,,,,,,,,,,,,1,4,#0000FF,,2018.6.28 10:14,2018.6.28 10:14
서울특별시 용산구 두텁바위로 25,서울특별시 용산구 갈월동 51-19,126.9748244,37.54577435,100180,wtb_03_01_007,KOR,갈월종합사회복지관,,용산구,,,,,,1899-4708,여성1인가구 등을 위해 다세대주택 지역에 무인택배함을 설치하여 낯선 사람을 대면하지 않고 택배를 수령할 수 있는 서비스,택배 주문 시 배송란에 여성안심택배함 주소 입력  → 택배가 도착하면 휴대폰 문자로 인증번호 수신 → 택배함으로 와서 인증번호 입력 후 택배 찾기 ※택배도착 후 48시간 까지만 무료이며 이후부터 하루당 1천원씩 요금 발생,주차장,,,,,,,,,,,,,,,,,,여성안심택배함이란?,이용 방법,자세한 위치,,,,,,,,,,,,,,,,,,,1,4,#0000FF,,2018.6.28 10:14,2018.6.28 10:14
서울특별시 용산구 녹사평대로 150,서울특별시 용산구 이태원동 34-87,126.9901796,37.53256435,100180,wtb_03_02_008,KOR,용산구청후문,,용산구,,,,,,1899-4708,여성1인가구 등을 위해 다세대주택 지역에 무인택배함을 설치하여 낯선 사람을 대면하지 않고 택배를 수령할 수 있는 서비스,택배 주문 시 배송란에 여성안심택배함 주소 입력  → 택배가 도착하면 휴대폰 문자로 인증번호 수신 → 택배함으로 와서 인증번호 입력 후 택배 찾기 ※택배도착 후 48시간 까지만 무료이며 이후부터 하루당 1천원씩 요금 발생,자전거 보관대 옆,,,,,,,,,,,,,,,,,,여성안심택배함이란?,이용 방법,자세한 위치,,,,,,,,,,,,,,,,,,,1,4,#0000FF,,2018.6.28 10:14,2018.6.28 10:14
